id,collection,dspace.entity.type,nrcan.sponsor.code,nrcan.sponsor.program[en],nrcan.sponsor.program[fr],dc.title[en],dc.title[fr],nrcan.sponsor.url[en],nrcan.sponsor.url[fr]
+,123456789s/21,Sponsor,SO1010,Offshore Geoscience,Géoscience en mer,Ocean Management,Gestion des océans,,
+,123456789s/21,Sponsor,SO1010,Offshore Geoscience,Géoscience en mer,Sustainable Offshore Resources Development,Développement des ressources durable des régions extra-côtières,,
+,123456789s/21,Sponsor,SO101A,Offshore Geoscience,Géoscience en mer,Sustainable Offshore Resouce Development,Développement des ressources durable des régions extra-côtières,,
+,123456789s/21,Sponsor,SR1001,Mountain Pine Beetle,Dendroctone du pin ponderosa,Geoscience for Mountain Pine Beetle Response,Réponse géoscientifique pour le dendroctone du pin ponderosa,,
+,123456789s/21,Sponsor,TG6002,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",Targeted Geoscience Initiative (TGI 3),Initiative géoscientifique ciblée (IGC-3),http://www.collectionscanada.gc.ca/webarchives/20071116040231/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/20071116040424/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,TG6003,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",Abitibi TGI-3,Abitibi IGC-3,http://www.collectionscanada.gc.ca/webarchives/20071116040231/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/20071116040424/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,TG6004,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",Appalachian TGI-3,Appalaches IGC-3,http://www.collectionscanada.gc.ca/webarchives/20071116040231/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/20071116040424/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,TG6005,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",Southern Cordillera TGI-3,Cordillère du sud IGC-3,http://www.collectionscanada.gc.ca/webarchives/2007111604023 1/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/2007111604042 4/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,TG6006,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",Flin Flon TGI-3,Flin Flon IGC-3,http://www.collectionscanada.gc.ca/webarchives/20071116040231/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/20071116040424/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,TG6007,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",Deep Search TGI-3,Projet de recherche en zones profondes IGC-3,http://www.collectionscanada.gc.ca/webarchives/20071116040231/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/20071116040424/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,TG7002,Targeted Geoscience Initiative (TGI-4),Initiative géoscientifique ciblée (IGC-4),Administration TGI - Phase IV,Administration IGC - Phase IV,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,X32,Geoscience for Oceans Management,Les géosciences à l'appui de la gestion des océans,Geoscience for Eastern Scotian Shelf Integrated Management,Géosciences pour la gestion intégrée de l'est du Plateau Néo-Ecossais,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116045217 /http://ess.nrcan.gc.ca/2002_2006/gom/index_e.php,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116045755 /http://ess.nrcan.gc.ca/2002_2006/gom/index_f.php
+,123456789s/21,Sponsor,X36,Geoscience for Oceans Management,Les géosciences à l'appui de la gestion des océans,Geohazards and Constraints to Offshore Development,Aléas géologiques et contraintes à la mise en valeur des ressources extracôtières,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116045217 /http://ess.nrcan.gc.ca/2002_2006/gom/index_e.php,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116045755 /http://ess.nrcan.gc.ca/2002_2006/gom/index_f.php
+,123456789s/21,Sponsor,X41,Geoscience for Oceans Management,Les géosciences à l'appui de la gestion des océans,National morpho-dynamic framework for seabed management on continental shelves,Cadre national morpho-dynamique pour la gestion des fonds marins sur les plateaux continentaux,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116045217 /http://ess.nrcan.gc.ca/2002_2006/gom/index_e.php,http://webarchive.bac-lac.gc.ca:8080/wayback/20071116045755 /http://ess.nrcan.gc.ca/2002_2006/gom/index_f.php
+,123456789s/21,Sponsor,X91,"Targeted Geoscience Initiative (TGI-3), 2005-2010","Initiative géoscientifique ciblée (IGC-3), 2005-2010",,,http://www.collectionscanada.gc.ca/webarchives/20071116040231/http://ess.nrcan.gc.ca/tgi/index_e.php,http://www.collectionscanada.gc.ca/webarchives/20071116040424/http://ess.nrcan.gc.ca/tgi/index_f.php
+,123456789s/21,Sponsor,Z01,Canada's Survey Program,Programme d'arpentage du Canada,(9850) Canada's Survey Program,(9850) Programme d'arpentage du Canada,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands-surveys/federal-programs/survey-program/10851,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-terres-canada/programmes-federaux/programme-arpentage/10852
