id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Sainte-Anne / Port Dauphin National Historic Site of Canada,Lieu historique national du Canada Sainte-Anne / Port Dauphin,geo names db
+,123456789s/18,Area,Sir Frederick Borden Residence National Historic Site of Canada,Lieu historique national du Canada de la Résidence-de-sir-Frederick-Borden,geo names db
+,123456789s/18,Area,Henry House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Henry,geo names db
+,123456789s/18,Area,Halifax Drill Hall National Historic Site of Canada,Lieu historique national du Canada de la salle d'exercices de Halifax,geo names db
+,123456789s/18,Area,Black-Binney House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Black-Binney,geo names db
+,123456789s/18,Area,Argyle Township Court House and Jail National Historic Site of Canada,Lieu historique national du Canada du Palais-de-Justice-et-Prison-du-Canton-d'Argyle,geo names db
+,123456789s/18,Area,Admirality House National Historic Site of Canada,Lieu historique national du Canada de l'Édifice-de-l'Amiraut,geo names db
+,123456789s/18,Area,St. Paul's Anglican Church National Historic Site of Canada,Lieu historique national du Canada de l'Église-Anglicane-St. Paul,geo names db
+,123456789s/18,Area,St. John's Anglican Church National Historic Site of Canada,Lieu historique national du Canada de l'glise-Anglicane-St. John,geo names db
+,123456789s/18,Area,St. George's Anglican Church / Round Church National Historic Site of Canada,Lieu historique national du Canada de l'glise-Anglicane-St. George / glise-Ronde,geo names db
+,123456789s/18,Area,S.S. Acadia National Historic Site of Canada,Lieu historique national du Canada S.S. Acadia,geo names db
+,123456789s/18,Area,Pier 21 National Historic Site of Canada,Lieu historique national du Canada du Quai 21,geo names db
+,123456789s/18,Area,Thinkers Lodge National Historic Site of Canada,Lieu historique national du Canada Thinkers Lodge,geo names db
+,123456789s/18,Area,Bedford Petroglyphs National Historic Site of Canada,Lieu historique national du Canada des Pétroglyphes-de-Bedford,geo names db
